ReportNumber,Date,Section,Description,Address,Person_Charged
2303974,2023-04-29,Section: 5-9-6(1),UNREASONABLE NOISE 11 P.M. THROUGH 7 A.M,1101 GRANDVIEW AVE,Yes
2303948,2023-04-29,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3765 WILD PLUM CT,Yes
2303936,2023-04-29,Section: 5-9-6(1),UNREASONABLE NOISE 11 P.M. THROUGH 7 A.M,1075 11TH ST,Yes
2303924,2023-04-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5000 BUTTE ST,Yes
2303907,2023-04-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4685 MACKY WAY,Yes
2303898,2023-04-27,Section: 18-9-106(1)(C),DISORDERLY CONDUCT-UNREASONABLE NOISE,3100 30TH ST,Yes
2303740,2023-04-22,Section: 5-9-6(1),UNREASONABLE NOISE 11 P.M. THROUGH 7 A.M,758 19TH ST,Yes
2303513,2023-04-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3182 5TH ST,Yes
2303508,2023-04-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2950 CARNEGIE DR,Yes
2303494,2023-04-15,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4500 19TH ST,
2303391,2023-04-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,730 29TH ST,Yes
2303365,2023-04-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2355 23RD ST,Yes
2303304,2023-04-10,Section: 5-9-6(2),UNREASONABLE NOISE 7 A.M. THROUGH 11 P.M,9TH ST/BALSAM AVE,Yes
2303303,2023-04-10,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4500 19TH ST,Yes
2303130,2023-04-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2950 BIXBY AVE,Yes
2303029,2023-04-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3844 BIRCHWOOD DR,Yes
2302982,2023-04-01,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4684 S HAMPTON CIR,Yes
2302987,2023-03-31,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3267 30TH ST,
2302832,2023-03-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,875 33RD ST,Yes
2302647,2023-03-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1842 CANYON BLVD,Yes
2302481,2023-03-17,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,835 12TH ST,Yes
2302224,2023-03-09,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2024 GOSS ST,Yes
2302131,2023-03-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2036 CANYON BLVD,Yes
2302085,2023-03-04,Section: 5-9-6(2),UNREASONABLE NOISE 7 A.M. THROUGH 11 P.M,1092 9TH ST,Yes
2302081,2023-03-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,960 POPLAR AVE,Yes
2302064,2023-03-04,Section: 5-9-6(1),UNREASONABLE NOISE 11 P.M. THROUGH 7 A.M,1069 11TH ST,Yes
2302057,2023-03-03,Section: 5-9-6(2),UNREASONABLE NOISE 7 A.M. THROUGH 11 P.M,1064 13TH ST,Yes
2302053,2023-03-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2910 BLUFF ST,Yes
2301969,2023-03-01,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2985 13TH ST,Yes
2301855,2023-02-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2604 MAPLETON AVE,Yes
2301821,2023-02-24,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5584 PENNSYLVANIA AVE,Yes
2301793,2023-02-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1045 GILBERT ST,Yes
2301787,2023-02-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2725 28TH ST,Yes
2301789,2023-02-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2037 WALNUT ST,Yes
2301675,2023-02-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4770 BROADWAY,Yes
2301574,2023-02-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2725 ELM AVE,Yes
2301444,2023-02-13,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2003 GROVE ST,Yes
2301393,2023-02-11,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3765 CAYMAN PL,Yes
2301158,2023-02-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5000 BUTTE ST,Yes
2301119,2023-02-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2225 HILLSDALE CIR,Yes
2300923,2023-01-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,500 MANHATTAN DR,Yes
2300819,2023-01-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,502 COLLEGE AVE,Yes
2300692,2023-01-21,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,704 CONCORD AVE,Yes
2300635,2023-01-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3670 BERKLEY AVE,Yes
2300607,2023-01-19,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2227 CANYON BLVD,
2300592,2023-01-18,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,1000 AURORA AVE,
2300367,2023-01-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3015 13TH ST,Yes
2300334,2023-01-11,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,303 PEARL ST,Yes
2300190,2023-01-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5734 N ORCHARD CREEK CIR,Yes
2300118,2023-01-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1200 AIKINS WAY,Yes
2300084,2023-01-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4840 TWIN LAKES RD,Yes
2300082,2023-01-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1220 LINDEN AVE,Yes
2300040,2023-01-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,955 MARINE ST,Yes
2212667,2022-12-27,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,941 TELLER CIR,Yes
2212634,2022-12-26,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2765 28TH ST,Yes
2212580,2022-12-23,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,1940 WALNUT ST,Yes
2212542,2022-12-21,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4530 OSAGE DR,Yes
T277577,2022-12-15,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,BROADWAY/EUCLID AVE,Yes
2212302,2022-12-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,805 29TH ST,Yes
T280880,2022-12-09,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,BROADWAY/CANYON BLVD,Yes
2211945,2022-12-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3004 WASHINGTON ST,Yes
2211530,2022-11-18,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1013 PORTLAND PL,Yes
2211523,2022-11-18,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,617 DEWEY AVE,Yes
2211507,2022-11-17,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3267 30TH ST,Yes
2211456,2022-11-17,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5483 PUEBLO PL,Yes
2300653,2022-11-17,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,505 MANHATTAN DR,Yes
2211425,2022-11-15,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,13 BENTHAVEN PL,Yes
2211296,2022-11-11,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,740 32ND ST,
2211082,2022-11-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,611 UNIVERSITY AVE,Yes
2211130,2022-10-30,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,745 15TH ST,Yes
T279329,2022-10-29,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,10TH ST/MARINE ST,Yes
2210829,2022-10-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3500 COPPER ST,Yes
2210814,2022-10-27,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,630 S 46TH ST,Yes
2210613,2022-10-22,Section: 5-9-6(2),UNREASONABLE NOISE 7 A.M. THROUGH 11 P.M,1080 14TH ST,Yes
2210482,2022-10-18,Section: 5-9-6(2),UNREASONABLE NOISE 7 A.M. THROUGH 11 P.M,1043 PLEASANT ST,Yes
2210377,2022-10-15,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3115 3RD ST,Yes
2300238,2022-10-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2036 CANYON BLVD,Yes
2210084,2022-10-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,565 MOHAWK DR,Yes
2210065,2022-10-07,Section: 5-9-6(1),UNREASONABLE NOISE 11 P.M. THROUGH 7 A.M,769 UNIVERSITY AVE,Yes
2210064,2022-10-07,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,753 MARINE ST,Yes
2209992,2022-10-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,634 WALDEN CIR,Yes
2209918,2022-10-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1918 SPRUCE ST,
2209876,2022-10-01,Section: 5-9-6(2),UNREASONABLE NOISE 7 A.M. THROUGH 11 P.M,1036 GRANDVIEW AVE,Yes
2209839,2022-09-30,Section: 5-9-6(2),UNREASONABLE NOISE 7 A.M. THROUGH 11 P.M,966 GRANDVIEW AVE,Yes
2209807,2022-09-30,Section: 5-9-6(1),UNREASONABLE NOISE 11 P.M. THROUGH 7 A.M,1135 10TH ST,Yes
2209808,2022-09-30,Section: 5-9-6(1),UNREASONABLE NOISE 11 P.M. THROUGH 7 A.M,1120 10TH ST,Yes
2209804,2022-09-30,Section: 5-9-6(1),UNREASONABLE NOISE 11 P.M. THROUGH 7 A.M,1027 14TH ST,Yes
2209783,2022-09-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3535 SILVER PLUME CT,Yes
2209784,2022-09-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2810 E COLLEGE AVE,Yes
2209644,2022-09-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2036 CANYON BLVD,Yes
2209588,2022-09-23,Section: 5-9-6(2),UNREASONABLE NOISE 7 A.M. THROUGH 11 P.M,1036 GRANDVIEW AVE,Yes
2209565,2022-09-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3565 CATALPA WAY,
2209564,2022-09-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3545 CLOVER CIR,Yes
2209569,2022-09-22,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,707 14TH ST,Yes
2209575,2022-09-21,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2995 SHADOW CREEK DR,Yes
2209488,2022-09-21,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,595 BASELINE RD,Yes
2209355,2022-09-17,Section: 5-9-6(2),UNREASONABLE NOISE 7 A.M. THROUGH 11 P.M,1010 12TH ST,Yes
T280678,2022-09-15,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,FOLSOM ST/CANYON BLVD,Yes
2209290,2022-09-15,Section: 5-9-6(2),UNREASONABLE NOISE 7 A.M. THROUGH 11 P.M,1127 12TH ST,
2209126,2022-09-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,9TH ST/PLEASANT ST,Yes
2209125,2022-09-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1315 CASCADE AVE,Yes
2209133,2022-09-10,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,955 UTICA AVE,Yes
2208903,2022-09-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2705 6TH ST,Yes
2208860,2022-09-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2618 THORNBIRD PL,Yes
2208905,2022-09-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1135 PENNSYLVANIA AVE,Yes
2208797,2022-09-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1480 CHAMBERS DR,Yes
2208791,2022-09-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2024 GOSS ST,Yes
2208779,2022-09-03,Section: 18-9-106(1)(C),DISORDERLY CONDUCT-UNREASONABLE NOISE,993 E MOORHEAD CIR,
2208744,2022-09-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1220 LINDEN AVE,
2208676,2022-09-01,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3304 CRIPPLE CREEK TRL,Yes
2208682,2022-09-01,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,860 MORGAN DR,Yes
2208625,2022-08-31,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,970 9TH ST,Yes
2208488,2022-08-28,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1087 10TH ST,Yes
2208481,2022-08-27,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,505 HARVARD LN,
2208387,2022-08-26,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4990 MOORHEAD AVE,Yes
2208285,2022-08-24,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1544 BRADLEY DR,Yes
2208270,2022-08-24,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,303 PEARL ST,Yes
2208241,2022-08-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2944 GLENWOOD DR,Yes
2208083,2022-08-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1465 FINDLAY WAY,Yes
2208040,2022-08-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3278 OURAY ST,Yes
2208032,2022-08-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1743 MAPLETON AVE,Yes
2207926,2022-08-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1505 BLUEBELL AVE,Yes
2207835,2022-08-15,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1245 ELDER AVE,Yes
2207908,2022-08-15,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2339 13TH ST,Yes
2207808,2022-08-14,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5000 BUTTE ST,Yes
2207805,2022-08-14,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4500 19TH ST,Yes
2207769,2022-08-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3345 CHISHOLM TRL,Yes
2207768,2022-08-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2308 SOUTH ST,
2207706,2022-08-12,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,813 20TH ST,
2208015,2022-08-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4930 MEREDITH WAY,Yes
2207539,2022-08-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1800 YAUPON AVE,Yes
2207498,2022-08-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,115 S 34TH ST,Yes
2207495,2022-08-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3230 5TH ST,Yes
2207321,2022-08-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3190 E AURORA AVE,Yes
T277570,2022-08-02,Section: 7-3-4,INADEQUATE MUFFLING OF NOISE,2445 BALSAM DR,Yes
2207258,2022-07-31,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,2830 E COLLEGE AVE,Yes
2207283,2022-07-29,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2950 JEFFERSON ST,Yes
2206901,2022-07-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3085 17TH ST,Yes
2206847,2022-07-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2806 CORDRY CT,Yes
2206762,2022-07-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1775 SUNSET BLVD,Yes
2206750,2022-07-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,505 MANHATTAN DR,Yes
2206743,2022-07-16,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,835 16TH ST,Yes
2206515,2022-07-10,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5640 ARAPAHOE AVE,Yes
2206501,2022-07-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3289 PALO PKWY,Yes
2206280,2022-07-03,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,5610 ARAPAHOE AVE,Yes
2206335,2022-07-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3594 KIRKWOOD PL,Yes
2206201,2022-07-01,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4650 SHAWNEE PL,
2206182,2022-06-30,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3210 EMERSON AVE,Yes
2205992,2022-06-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,774 GRANT PL,Yes
2205979,2022-06-24,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,4535 BROADWAY,
2205845,2022-06-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5610 ARAPAHOE AVE,Yes
2205929,2022-06-18,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3178 29TH ST,Yes
2205712,2022-06-17,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1010 11TH ST,Yes
2205690,2022-06-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5640 ARAPAHOE AVE,Yes
2205623,2022-06-14,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3953 FULLER CT,Yes
2205447,2022-06-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3860 CARLOCK DR,Yes
2205422,2022-06-07,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4391 BUTLER CIR,Yes
2205338,2022-06-05,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3132 FOLSOM ST,Yes
2205287,2022-06-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,295 HOPI PL,Yes
2205287,2022-06-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,295 HOPI PL,Yes
2205287,2022-06-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,295 HOPI PL,Yes
2205250,2022-06-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3955 28TH ST,Yes
2205251,2022-06-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1055 30TH ST,Yes
2205210,2022-06-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2010 4TH ST,Yes
2205193,2022-05-29,Section: 5-9-8                    ,UNREASONABLE NOISE - PROHIBITED ANY                         ,1143 13TH ST,Yes
2205043,2022-05-28,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4712 MCKINLEY DR,Yes
2204958,2022-05-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4850 QUALLA DR,Yes
2204794,2022-05-21,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,512 MARINE ST,Yes
2204676,2022-05-17,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,860 AURORA AVE,Yes
2204566,2022-05-15,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3565 28TH ST,Yes
2204537,2022-05-14,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3100 34TH ST,Yes
2204478,2022-05-13,Section: 5-9-7,UNREASONABLE NOISE -  9 PM TO 7 AM,1450 HIGH ST,Yes
2204316,2022-05-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4584 SPRUCEDALE PL,Yes
2204140,2022-05-04,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,505 27TH WAY,Yes
2204153,2022-05-03,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4610 ARAPAHOE AVE,Yes
2203651,2022-04-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,560 S 40TH ST,Yes
2203639,2022-04-20,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,755 ARAPAHOE AVE,Yes
2203607,2022-04-19,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3250 ONEAL CIR,Yes
2203537,2022-04-17,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3595 CLOVERLEAF DR,Yes
2203246,2022-04-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3710 SMUGGLER PL,Yes
2203086,2022-04-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,125 S 32ND ST,Yes
2203012,2022-04-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5354 PENNSYLVANIA AVE,Yes
2203000,2022-04-02,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3101 IRON FORGE PL,Yes
2202901,2022-03-30,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,920 NORTH ST,Yes
2202720,2022-03-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3844 BIRCHWOOD DR,Yes
2202546,2022-03-18,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2505 YARROW CT,Yes
2202445,2022-03-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,630 S 43RD ST,Yes
2202312,2022-03-12,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,943 10TH ST,
2202294,2022-03-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1105 ALBION WAY,Yes
2202283,2022-03-12,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1715 AURORA AVE,
2202230,2022-03-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2840 LAGRANGE CIR,Yes
2202197,2022-03-09,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,555 HARVARD LN,Yes
2201872,2022-02-27,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1616 6TH ST,Yes
2201876,2022-02-26,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4990 MOORHEAD AVE,Yes
2201784,2022-02-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1951 ALPINE AVE,Yes
2201569,2022-02-18,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,960 14TH ST,
2201477,2022-02-13,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,865 MORGAN DR,Yes
2201378,2022-02-12,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2865 LAGRANGE CIR,Yes
2201363,2022-02-11,Section: 18-9-106(1)(C),DISORDERLY CONDUCT-UNREASONABLE NOISE,700 WALNUT ST,Yes
